"artist_name","cnts","popularity_average"
"Calboy","2","31.00"
"SISTAR19","2","41.00"
"Major Lazer","2","57.50"
"Tate McRae","2","88.00"
"Iamdoechii","2","76.50"
"Two Feet","2","75.50"
"Davey Langit","2","31.00"
"Tre Coast","2","34.50"
"Brandon ThaKidd","2","41.00"
"Breakbot","2","69.00"
"音阙诗听","2","63.00"
"Metro Station","2","70.00"
"Jonn Hart","2","48.00"
"Bosx1ne","2","58.00"
"Dj Douyin Remix","2","45.00"
"Kesha","2","69.00"
"Outkast","2","41.50"
"Imanbek","2","75.50"
"Cults","2","66.50"
"Anitta","2","68.50"
"Handsome Luke","2","32.00"
"Yeng Constantino","2","57.50"
"Rachel Platten","2","79.00"
"Julia Michaels","2","79.50"
"Duncan Laurence","2","84.50"
"Sleepy Chows","2","50.50"
"Kash Doll","2","60.00"
"QUE.","2","54.00"
"Silent Child","2","44.50"
"Cage The Elephant","2","53.00"
"Dj Jac","2","44.00"
"Kelis","2","56.50"
"Martin Jensen","2","57.50"
"DJ Siul","2","27.00"
"Pateezy","2","42.00"
"Josh A","2","63.00"
"Fousheé","2","79.00"
"L'Trimm","2","51.00"
"Terelulopo","2","6.50"
"Surf Curse","2","84.00"
"Mc Kaio","2","68.00"
"Farruko","2","74.00"
"Ummet Ozcan","2","62.00"
"Bobby Shmurda","2","75.00"
"DJ Remix","2","0.00"
"Issam Alnajjar","2","45.00"
"SUD","2","58.50"
"LUM!X","2","71.00"
"Demi Lovato","2","74.50"
"tobi lou","2","62.50"
"JAY-Z","2","80.00"
"Shawn Mendes","2","75.50"
"ITZY","2","75.00"
"Justin Quiles","2","74.50"
"Maejor","2","69.50"
"E the profit","2","38.00"
"BIA","2","80.50"
"Goodboys","2","60.00"
"Pusher","2","67.50"
"Aikee","2","38.00"
"Gigi D'Agostino","2","60.50"
"Alvin & The Chipmunks","2","35.00"
"Kuya Bryan","2","34.00"
"Kizz Daniel","2","74.00"
"Chris Lawyer","2","37.00"
"Slapaholics","2","35.50"
"Kali Uchis","2","93.50"
"Prince of Falls","2","54.00"
"Selena Gomez","2","67.00"
"Lil Shock","2","50.00"
"Stella Jang","2","58.50"
"reptilelegit","2","38.50"
"HBz","2","56.00"
"Kyle The Hooligan","2","44.00"
"E-40","2","48.00"
"Khia","2","42.00"
"Tesher","2","79.00"
"Iyaz","2","63.50"
"TOO","2","22.00"
"Lbdjs Record","2","39.50"
"David Shawty","2","44.50"
"B.o.B","2","66.00"
"M83","2","29.00"
"Kensuke Ushio","2","57.00"
"Volac","2","63.00"
"Lil Keed","2","62.00"
"Frostydasnowmann","2","31.00"
"Beanz","2","5.00"
"Peach Tree Rascals","2","78.00"
"Nakala","2","24.50"
"MC Marley","2","58.50"
"Joseph Black","2","68.00"
"Mimi Webb","2","75.50"
"Mahogany Lox","2","61.00"
"Shygirl","2","42.00"
"nicopop.","2","42.00"
"Jazmin Sisters","2","35.00"
"HONNE","2","32.00"
"Yo Gotti","2","73.00"
"Chance the Rapper","2","53.00"
"Hippie Sabotage","2","83.00"
"Will Joseph Cook","2","59.00"
"Ashe","2","79.00"
"highonclouds","2","2.50"
"Matvey Emerson","2","33.00"
"JBK","2","13.50"
"Edith Whiskers","2","71.00"
"Febri Hands","2","0.00"
"Vegedream","2","72.00"
"Neoni","2","47.00"
"Ofenbach","2","79.00"
"Pia Mia","2","75.00"
"Kayla Nicole","2","72.00"
"Master KG","2","40.00"
"Tion Wayne","2","91.00"
"deadman 死人","2","0.50"
"SEB","2","73.50"
"HYO","2","62.00"
"DAVESTATEOFMIND","2","30.00"
"YOASOBI","2","73.00"
"Chuku100","2","30.50"
"Ryn Weaver","2","71.00"
"Giang Pham","2","33.50"
"RU$$OV","2","37.50"
"Imran Khan","2","69.00"
"1way Frank","2","58.00"
"Flo Rida","2","80.50"
"DJ Loonyo","2","31.50"
"W&W","2","57.50"
"AYO TR3","2","20.50"
"Coyote Theory","2","20.00"
"Dj Nbeat","2","17.50"
"O.C. Dawgs","2","56.00"
"Svniivan","2","54.50"
"Bag Raiders","2","35.00"
"Alex Alexander","2","51.00"
"Vanessa Carlton","2","76.00"
"jeonghyeon","2","48.00"
"Baby Keem","2","66.00"
"Ultradiox","2","49.50"
"Dolo Tonight","2","25.50"
"LA Rodriguez","2","7.50"
"BlackMayo","2","59.00"
"Pink Chanel Dior","2","47.00"
"Early Studios","2","0.00"
"Majestic","2","88.50"
"DJ Covy","2","51.50"
"物語シリーズ","2","71.00"
"carolesdaughter","2","78.00"
"Tre Savage","2","8.50"
"Lil Kayla","2","50.00"
"BBY KODIE","2","52.00"
"Addison Rae","2","71.50"
"Roxie","2","37.00"
"Henri Purnell","2","53.50"
"lilbootycall","2","40.00"
"Huncho Da Rockstar","2","34.50"
"juan karlos","2","52.50"
"CHASE B","2","68.00"
"Travis Porter","2","60.00"
"NLE Choppa","2","30.50"
"Midi Blosso","2","58.00"
"Yves V","2","67.50"
"SAYGRACE","2","71.00"
"alt-J","2","58.50"
"Big Sean","2","69.00"
"Moonstar88","2","57.00"
"Insane Clown Posse","2","62.00"
"Sam Fischer","2","83.00"
"Mr. Budots","2","33.00"
"HXLLYWOOD","2","73.00"
"Jom","2","50.50"
"X Ambassadors","2","76.50"
"Floxyn","2","33.00"
"Baby Bash","2","75.00"
"Camila Cabello","2","79.00"
"Sheck Wes","2","66.50"
"Mangoo","2","60.00"
"Kane Brown","2","72.50"
"Olivia O'Brien","2","24.50"
"Whigfield","2","24.00"
"Gabry Ponte","2","62.00"
"VST & Company","2","37.50"
"Peachy!","2","47.00"
"Lil Jon","2","58.50"
"Iggy Azalea","2","70.00"
"Eastblock Bitches","2","49.00"
"Joel Corry","2","89.00"
"Yung Pooda","2","47.00"
"Merty Shango","2","40.50"
"Princess Thea","2","42.00"
"The Pussycat Dolls","2","67.00"
"twocolors","2","76.50"
"VVS Collective","2","55.00"
"Blac Youngsta","2","47.00"
"Joey Melrose","2","39.00"
"BODYWORX","2","49.00"
"Lil Toe","2","53.00"
"Ali Gatie","2","48.00"
"Young M.A","2","64.50"
"Chloe x Halle","2","61.00"
"Abaddon","2","38.00"
"David Puentez","2","66.50"
"THE SCOTTS","2","82.00"
"FRVRFRIDAY","2","51.50"
"Hwa Sa","2","75.00"
"Chvnge Up","2","47.00"
"Dixson Waz","2","33.00"
"$NOT","2","72.00"
"Stephany Joanna","2","32.50"
"Mr_hotspot","2","19.00"
"Los Dioses Del Ritmo","2","37.00"
"Cassie","2","73.00"
"JESSIA","2","53.00"
"Stunna Gambino","2","59.50"
"R.I.O.","2","42.50"
"LANNÉ","2","55.00"
"Prophet the Artist","2","50.00"
"Lost People","2","23.00"
"Stefflon Don","2","72.00"
"Pixies","2","71.50"
"JP Saxe","2","84.00"
"Glass Animals","2","77.50"
"AP3","2","41.00"
"FRED PANOPIO","2","44.00"
"小潘潘","2","55.00"
"Phay","2","34.50"
"Pháo","2","70.00"
"Madcon","2","36.50"
"Jessi","2","40.50"
"Sam Feldt","2","73.50"
"Tay-K","2","67.00"
"Tippy Dos Santos","2","47.00"
"Leony","2","66.50"
"Kim Dracula","2","76.50"
"Soft Q","2","39.00"
"DJ Khaled","2","74.50"
"SAKVREYE","2","29.00"
"The Boyfriends","1","50.00"
"eli.","1","48.00"
"Moon OA","1","41.00"
"Dror","1","6.00"
"KVSH","1","71.00"
"SICKOTOY","1","46.00"
"Th CDM","1","77.00"
"A-FRAME","1","13.00"
"DJ DOLA do TRIÂNGULO","1","63.00"
"Mitski","1","81.00"
"offrami","1","51.00"
"BLUPRNT","1","25.00"
"Marv Allen","1","42.00"
"Mc Livinho","1","79.00"
"KAYTRANADA","1","57.00"
"Maykel Mantow","1","35.00"
"Aria X","1","32.00"
"Julieta Venegas","1","72.00"
"Griegz","1","39.00"
"OT BEATZ","1","23.00"
"Cap Carter","1","31.00"
"Vinoh","1","7.00"
"Viva La Panda","1","49.00"
"Kungs","1","62.00"
"Claptone","1","61.00"
"JACØBS","1","0.00"
"HÄWK","1","65.00"
"James TW","1","78.00"
"Natasha Mosley","1","60.00"
"Hoodie Mitch","1","18.00"
