"speechiness","track_name"
"0.322","Clap For 'Em (feat. Flo Milli & Sada Baby)"
"0.04","Clause the Mouse"
"0.0571","Clear - Shawn Wasabi Remix"
"0.0348","Clementine"
"0.0519","Close to Me"
"0.108","Close to Me"
"0.0319","Close To You"
"0.0322","Close to You - Down Town Remix"
"0.318","Close up"
"0.0491","Cloud 9"
"0.0495","Cloud 9"
"0.035","Cocaine"
"0.271","Coffin"
"0.168","Coke & Mentos"
"0.0633","Collard Greens"
"0.889","Colors"
"0.0354","Come & Go"
"0.0473","Come and Get Your Love - Single Version"
"0.0352","Come and Go (Female)"
"0.0378","Come Around Me"
"0.0411","Come Closer I'll Give You All My Love"
"0.0472","Come On Eileen"
"0.363","Come with Me (feat. Bosx1ne, Flow-G, King Badger & Jroa)"
"0.129","Comerte Toda"
"0.034","comethru"
"0.0574","comethru"
"0.0322","Coming of Age"
"0.316","COMMANDO"
"0.302","Como a Rata (feat. El Chusco)"
"0.0699","Complicated"
"0.0517","Complicated (feat. Ryan Caraveo)"
"0.11","Confident"
"0.0817","Confident Slowed - Remix"
"0.059","Conflicted"
"0.0451","Conga"
"0.253","Coño"
"0.181","Coño"
"0.198","Coño (feat. Jhorrmountain x Adje)"
"0.14","Control (feat. FUTURISTIC)"
"0.348","Coochie"
"0.0451","Cookie Crumbles"
"0.449","Cookie Shop"
"0.446","Cookie Shop"
"0.0511","Cool Kids"
"0.14","Coolant"
"0.0474","Cooler Than Me - Single Mix"
"0.0793","Cooler Than Me (feat. Big Sean)"
"0.0855","Copines"
"0.137","Copines (Slowed + Reverb)"
"0.146","Copines Slowed - Remix"
"0.372","Corona Virus"
"0.209","Could Have Said"
"0.0725","Count 1, 2"
"0.151","Countdown"
"0.0771","Cowboy Bebop Rap"
"0.478","CRACKHEAD"
"0.369","Cradles"
"0.325","Cradles"
"0.435","Crash Flow (Aint Trippin)"
"0.0592","Cream n' Frosting"
"0.0589","Cream n' Frosting"
"0.238","Crew Love"
"0.138","Crew REMIX (feat. Gucci Mane, Brent Faiyaz & Shy Glizzy)"
"0.344","Crisis"
"0.268","crossing field"
"0.297","Crunchyroll"
"0.0871","Cry About It Later"
"0.38","Cry Baby (feat. DaBaby)"
"0.359","Cry Baby (feat. DaBaby)"
"0.0739","Cry for You"
"0.161","Cry for You"
"0.0667","Cry Over Boys"
"0.125","Crystal Dolphin"
"0.358","Culo"
"0.278","Culo"
"0.0672","Cumbia"
"0.12","Cupid's Chokehold / Breakfast in America"
"0.114","Cupid's Chokehold / Breakfast In America"
"0.101","Cut Me Out"
"0.0652","Cutie Uyyy"
"0.0921","Cyber Sex"
"0.0419","D a d d y I s s u e s"
"0.0363","D o n ' t L e t M e D o w n (slowed reverb)"
"0.0374","D u s k T i l l D a w n (slowed reverb)"
"0.257","Daddy (feat. Rich The Kid)"
"0.0329","Daddy Issues"
"0.0327","Dahil Sa'Yo"
"0.0301","Dahil Sayo"
"0.039","Dai Dai"
"0.0407","Daisies"
"0.133","Daisy"
"0.153","Daisy"
"0.0544","DÁKITI"
"0.101","DÁKITI"
"0.0908","Dakiti - Female Version"
"0.0618","Dalaga"
"0.0825","Dalaga"
"0.0767","Dalaga"
"0.115","Dalaga - Stripped"
"0.309","Damn Boi He Thicc"
"0.0465","Damn Good Weekend"
"0.0341","Dan - DJ Opus Remix"
"0.0781","Dance Dance"
"0.438","Dance Dance Dance"
"0.0507","Dance Like Rihanna"
"0.0924","Dance Monkey"
"0.0988","Dance Monkey"
"0.0833","Dance With You"
"0.379","Dancia"
"0.152","Dancin' in mandela"
"0.0304","Dancin - Krono Remix"
"0.0287","Dancin (feat. Luvli) - Krono Remix"
"0.0725","Dancin Alone"
"0.101","Dancing in My Room"
"0.112","Dancing in My Room"
"0.0607","Dancing in My Room (Dance Remix)"
"0.0494","Dancing in the Moonlight"
"0.0649","Dancing in the Moonlight (feat. NEIMY)"
"0.0259","Dandelions"
"0.0756","Dangerous"
"0.135","Dangerously in Love (TikTok Remix)"
"0.0367","Dark"
"0.0512","Dark Horse"
"0.0513","Dark Horse"
"0.062","Dark Red"
"0.0698","Dasar Lo Anjay - BassBeat Remix"
"0.0683","Date Ur Fada"
"0.0557","Dati"
"0.114","Dati"
"0.0347","Dati (feat. Skusta Clee)"
"0.0761","Day 'N' Nite (nightmare)"
"0.0653","Day 'N' Nite (Nightmare)"
"0.0563","Day and Night (Screwed and Chopped)"
"0.0315","Daydream"
"0.129","De Mochila e de Rádio (feat. Mc Morena) - Brega Funk"
"0.0533","De Yang Gatal Gatal Sa - DJ DESA Remix"
"0.0731","Dead 2 Me"
"0.0357","Dead Inside"
"0.05","Dead Man Walking"
"0.121","Dead Or Alive"
"0.158","Deal with the devil"
"0.0446","Dear Anna"
"0.0805","Dear Maria, Count Me In"
"0.326","Death Bed"
"0.135","death bed (coffee for your head)"
"0.041","Death Pact"
"0.0396","December Ape"
"0.0668","Deceptacon"
"0.0519","Deep"
"0.0354","Deep End"
"0.23","Deep End"
"0.44","Deep End Freestyle"
"0.0687","deeper me"
"0.0469","Deixa de Onda (Porra Nenhuma)"
"0.112","deja vu"
"0.116","deja vu"
"0.0417","Deja Vu - No No Never"
"0.0369","Del Mar"
"0.217","Demons"
"0.328","Demons"
"0.241","DEPARTURE"
"0.0515","Departure!"
"0.158","Desce Pro Play (PA PA PA)"
"0.0614","Despeinada"
"0.0439","Desperado"
"0.0397","Dessert"
"0.112","DESSERT"
"0.11","Deuces (feat. Tyga & Kevin McCall)"
"0.189","Devil Eyes"
"0.0431","Di Ako Fuckboy (feat. Agsunta)"
"0.21","Di Maalala (Anong Ginagawa Mo Sakin)"
"0.19","Diamonds"
"0.0854","Diamonds"
"0.031","Diamonds - Female Version"
"0.42","Dick (feat. Doja Cat)"
"0.349","Did It On’em"
"0.526","Did You Know?"
"0.265","Die Lit"
"0.0404","Die on the Dancefloor"
"0.353","Diferenciada"
"0.459","Different Varieties"
"0.0877","Dilemma"
"0.429","Dilemma (Remake)"
"0.149","Dior"
"0.0903","Dios Mio - Remix"
"0.063","Diosa"
"0.0345","dirty laundry"
"0.0413","dirty laundry (slowed)"
"0.0456","Disaat Aku Tersakiti - Nofin Asia Music Cover"
"0.0641","Disana Menanti - Nofin Asia Music Cover"
"0.363","Disco Arranhado - Funk Remix"
"0.231","Disco Inferno"
"0.202","discord shawty"
"0.401","Disrespectful"
"0.0542","Dissolve"
"0.151","Distant Memory (with Timmy Trumpet x W&W)"
"0.053","Distribuidora"
"0.0526","Dito Ka Lang"
"0.0409","DJ De Yang Gatal Gatal Sa - Odading Remix Anjing Banget"
"0.0586","DJ Hareudang Hareudang"
